date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:22	12445/12445	---M--	200	added ('OK')	image/jpeg	etag:%22c619d716dc4c69c4254b03b574d735a7%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391580.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391580.jpg	(from https://www.growtopiagame.com/)
20:19:23	11347/11347	---M--	200	added ('OK')	image/jpeg	etag:%2207c84ad7554b5255c240929d1ee30f41%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391780.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391780.jpg	(from https://www.growtopiagame.com/)
20:19:23	395856/395856	---M--	200	added ('OK')	image/jpeg	etag:%221954e4daf258998c0b5db17126f765e2%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391780.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391780.jpg	(from https://www.growtopiagame.com/)
20:19:24	314856/314856	---M--	200	added ('OK')	image/jpeg	etag:%2241857cd496af7ccca287bd2812668df2%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391803.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391803.jpg	(from https://www.growtopiagame.com/)
20:19:24	8352/8352	---M--	200	added ('OK')	image/jpeg	etag:%227aaa057669ddad9dbee0b414b04e87c9%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391803.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391803.jpg	(from https://www.growtopiagame.com/)
20:19:25	216175/216175	---M--	200	added ('OK')	image/jpeg	etag:%22e936b0edd7cc645648b72e3eb74cc6cd%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391833.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391833.jpg	(from https://www.growtopiagame.com/)
20:19:25	11585/11585	---M--	200	added ('OK')	image/jpeg	etag:%224a2df2fad41b65842ab50835e61310b4%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391833.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_world_love_1550391833.jpg	(from https://www.growtopiagame.com/)
20:19:26	1468/1468	---M--	200	added ('OK')	image/png	etag:%229aeaaa52707185a5d1b63c4f528b445d%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/ubi_icon.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/ubi_icon.png	(from https://www.growtopiagame.com/)
20:19:26	28335/28335	---M--	200	added ('OK')	image/jpeg	etag:%22510118500a228b8165d78182bbc41fc3%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_icon_1513191167.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_icon_1513191167.jpg	(from https://www.growtopiagame.com/)
20:19:27	290647/290647	---M--	200	added ('OK')	application/javascript	etag:%220881f4cb2ffffad6a3c1bfbc28f6ae02%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/js/growweb.min.js	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/js/growweb.min.js	(from https://www.growtopiagame.com/)
